Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
993;220;319
994;680;319
995;212;319
996;221;319
997;314;319
998;686;320
999;215;319
1000;228;319
1001;204;319
1002;691;320
1003;224;319
1004;202;319
1005;209;319
1006;703;320
1007;229;320
1008;206;319
1009;217;319
1010;705;320
1011;205;320
1012;218;319
1013;226;319
1014;680;320
1015;212;320
1016;220;320
1017;229;319
1018;680;320
1019;215;320
1020;222;320
1021;199;319
1022;687;320
1023;222;320
1024;231;320
1025;216;320
1026;703;320
1027;229;320
1028;207;320
1029;214;320
1030;703;320
1031;202;320
1032;214;320
1033;226;320
1034;2474;322
1035;236;322
1036;200;322
1037;214;321
1038;219;321
1039;199;321
1040;210;321
1041;701;322
1042;199;321
1043;212;321
1044;219;321
1045;679;322
1046;212;321
1047;226;321
1048;194;321
1049;691;322
1050;217;321
1051;228;321
1052;209;321
1053;694;322
1054;225;322
1055;203;321
1056;211;321
1057;705;322
1058;205;322
1059;214;321
1060;221;321
1061;677;322
1062;207;322
1063;225;322
1064;197;321
1065;688;322
1066;222;322
1067;231;322
1068;204;321
1069;697;322
1070;224;322
1071;202;322
1072;210;321
1073;700;322
1074;199;322
1075;212;322
1076;220;322
1077;677;322
1078;224;322
1079;220;322
1080;225;322
1081;688;322
1082;215;322
1083;229;322
1084;205;322
1085;2472;324
1086;216;324
1087;212;323
1088;227;323
1089;201;323
1090;218;323
1091;223;323
1092;204;323
1093;211;323
1094;230;323
1095;199;323
1096;220;323
1097;704;323
1098;202;323
1099;204;323
1100;220;323
1101;716;323
1102;208;323
1103;214;323
1104;228;323
1105;494;323
1106;212;323
1107;708;323
1108;204;323
1109;206;323
1110;220;323
1111;714;323
1112;209;323
1113;215;323
1114;229;323
1115;683;323
1116;211;323
1117;219;323
1118;202;323
1119;690;323
1120;219;323
1121;223;323
1122;200;323
1123;700;323
1124;227;323
1125;196;323
1126;208;323
1127;695;323
1128;224;323
1129;202;323
1130;211;323
1131;705;323
1132;232;323
1133;200;323
1134;213;323
1135;708;323
1136;204;323
1137;207;323
1138;221;323
1139;710;323
1140;211;323
1141;216;323
1142;229;323
1143;687;323
1144;212;323
1145;221;323
1146;213;323
1147;695;323
1148;225;323
1149;226;323
1150;208;323
1151;703;323
1152;228;323
1153;203;323
1154;215;323
1155;711;324
1156;201;323
1157;206;323
1158;230;323
1159;718;324
1160;209;323
1161;212;323
1162;231;323
1163;688;324
1164;212;324
1165;221;323
1166;201;323
1167;691;324
1168;218;324
1169;223;323
1170;206;323
1171;700;324
1172;227;324
1173;200;323
1174;212;323
1175;708;324
1176;201;324
1177;210;324
1178;220;323
1179;711;324
1180;208;324
1181;212;324
1182;225;323
1183;684;324
1184;215;324
1185;229;324
1186;233;324
1187;4470;327
1188;217;327
1189;211;327
1190;227;327
1191;200;327
1192;215;327
1193;222;326
1194;214;326
1195;208;326
1196;216;326
1197;229;326
1198;207;326
1199;218;326
1200;227;326
1201;201;326
1202;214;326
1203;226;326
1204;202;325
1205;207;325
1206;217;325
1207;225;325
1208;203;325
1209;218;325
1210;226;325
1211;206;325
1212;215;325
1213;221;325
1214;674;325
1215;207;325
1216;220;325
1217;232;325
1218;687;325
1219;219;325
1220;226;325
1221;204;325
1222;690;325
1223;218;325
1224;203;325
1225;211;325
1226;699;325
1227;230;325
1228;218;325
1229;214;325
1230;216;325
1231;220;325
1232;233;324
1233;210;324
1234;236;324
1235;198;324
1236;222;324
1237;217;324
1238;2297;326
1239;1945;327
1240;2784;329
1241;3308;331
1242;1375;332
1243;699;332
1244;229;332
1245;228;332
1246;233;332
1247;206;332
1248;216;332
1249;232;332
1250;206;332
1251;217;332
1252;225;332
1253;206;332
1254;215;331
1255;228;331
1256;199;331
1257;213;331
1258;220;331
1259;234;331
1260;266;331
1261;237;331
1262;231;331
1263;209;331
1264;216;331
1265;231;331
1266;202;330
1267;218;330
1268;223;330
1269;205;330
1270;211;330
1271;225;330
1272;235;330
1273;213;330
1274;215;330
1275;710;330
1276;211;330
1277;221;330
1278;226;330
1279;682;330
1280;216;330
1281;232;330
1282;199;330
1283;693;330
1284;229;330
1285;206;330
1286;214;330
1287;879;330
1288;224;330
1289;217;330
1290;225;330
1291;215;330
1292;213;330
1293;226;330
1294;199;330
1295;214;330
1296;219;329
1297;235;329
1298;206;329
1299;222;329
1300;230;329
1301;213;329
1302;214;329
1303;233;329
1304;208;329
1305;224;329
1306;234;329
1307;209;329
1308;217;328
1309;236;328
1310;207;328
1311;220;328
1312;226;328
1313;208;328
1314;218;328
1315;245;328
1316;208;328
1317;221;328
1318;226;328
1319;208;328
1320;215;327
1321;233;327
1322;199;327
1323;218;327
1324;222;327
1325;204;327
1326;216;327
1327;226;327
1328;204;327
1329;220;327
1330;363;327
1331;976;327
1332;220;327
1333;229;327
1334;200;327
1335;213;327
1336;219;327
1337;237;327
1338;222;327
1339;222;327
1340;226;326
1341;217;326
1342;216;326
1343;239;326
1344;204;326
1345;222;326
1346;227;326
1347;214;326
1348;208;326
1349;227;326
1350;203;326
1351;216;326
1352;220;325
1353;236;325
1354;205;325
1355;221;325
1356;231;325
1357;224;325
1358;227;325
1359;202;325
1360;210;325
1361;230;325
1362;196;325
1363;232;325
1364;202;325
1365;218;324
1366;222;324
1367;208;324
1368;227;324
1369;226;324
1370;195;324
1371;212;324
1372;220;324
1373;233;324
1374;202;324
1375;223;324
1376;233;324
1377;212;324
1378;219;323
1379;230;323
1380;1521;324
1381;237;324
1382;192;324
1383;208;324
1384;213;324
1385;371;324
1386;206;324
1387;221;324
1388;232;324
1389;210;324
1390;214;324
1391;230;324
1392;202;323
1393;229;323
1394;213;323
1395;230;323
1396;203;323
1397;221;323
1398;222;323
1399;202;323
1400;208;323
1401;224;323
1402;199;323
1403;210;323
1404;216;322
1405;197;322
1406;205;322
1407;215;322
1408;229;322
1409;206;322
1410;214;322
1411;225;322
1412;200;322
1413;213;322
1414;223;322
