Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1117;246;268
1118;246;268
1119;264;268
1120;223;268
1121;245;268
1122;240;268
1123;254;268
1124;250;268
1125;281;268
1126;233;268
1127;257;268
1128;253;268
1129;267;268
1130;234;268
1131;250;268
1132;245;268
1133;264;268
1134;259;268
1135;243;268
1136;240;268
1137;257;268
1138;254;268
1139;271;268
1140;233;268
1141;256;268
1142;254;268
1143;274;268
1144;232;268
1145;254;268
1146;247;268
1147;267;268
1148;230;268
1149;253;268
1150;247;268
1151;261;268
1152;225;268
1153;247;268
1154;242;268
1155;259;268
1156;258;268
1157;242;268
1158;238;268
1159;256;268
1160;257;268
1161;238;268
1162;234;268
1163;257;268
1164;255;268
1165;243;268
1166;236;268
1167;1352;269
1168;265;269
1169;242;269
1170;236;268
1171;253;268
1172;250;268
1173;269;268
1174;236;268
1175;250;268
1176;249;268
1177;271;268
1178;233;268
1179;253;268
1180;247;268
1181;265;268
1182;231;268
1183;252;268
1184;248;268
1185;265;268
1186;264;268
1187;245;268
1188;244;268
1189;262;268
1190;257;268
1191;242;268
1192;236;268
1193;260;268
1194;255;268
1195;242;268
1196;236;268
1197;255;268
1198;252;268
1199;258;268
1200;233;268
1201;248;268
1202;243;268
1203;262;268
1204;262;268
1205;245;268
1206;236;268
1207;262;268
1208;257;268
1209;244;268
1210;238;268
1211;257;268
1212;252;268
1213;271;268
1214;233;268
1215;253;268
1216;249;268
1217;1184;269
1218;239;269
1219;250;268
1220;244;268
1221;264;268
1222;257;268
1223;246;268
1224;237;268
1225;255;268
1226;254;268
1227;272;268
1228;237;268
1229;254;268
1230;252;268
1231;269;268
1232;219;268
1233;246;268
1234;244;268
1235;265;268
1236;258;268
1237;242;268
1238;240;268
1239;258;268
1240;254;268
1241;240;268
1242;234;268
1243;251;268
1244;247;268
1245;267;268
1246;230;268
1247;252;268
1248;245;268
1249;254;268
1250;263;268
1251;249;268
1252;248;268
1253;263;268
1254;260;268
1255;244;268
1256;242;268
1257;260;268
1258;258;268
1259;240;268
1260;239;268
1261;255;268
1262;254;268
1263;262;268
1264;235;268
1265;254;268
1266;247;268
1267;266;268
1268;230;268
1269;250;268
1270;244;268
1271;260;268
1272;254;268
1273;240;268
1274;239;268
1275;256;268
1276;257;268
1277;272;268
1278;235;268
1279;255;268
1280;253;268
1281;269;268
1282;234;268
1283;252;268
1284;249;268
1285;269;268
1286;229;268
1287;245;268
1288;242;267
1289;261;267
1290;258;267
1291;244;267
1292;240;267
1293;258;267
1294;256;267
1295;240;267
1296;237;267
1297;252;267
1298;251;267
1299;266;267
1300;233;267
1301;254;267
1302;250;267
1303;266;267
1304;231;267
1305;253;267
1306;250;267
1307;266;267
1308;228;267
1309;245;267
1310;246;267
1311;261;267
1312;259;267
1313;240;267
1314;238;267
1315;259;267
1316;254;267
1317;242;267
1318;235;267
1319;253;267
1320;272;267
1321;259;267
1322;245;267
1323;242;267
1324;256;267
1325;262;267
1326;240;267
1327;240;267
1328;258;267
1329;252;267
1330;270;267
1331;232;267
1332;252;267
1333;254;267
1334;267;267
1335;232;267
1336;256;267
1337;248;267
1338;265;267
1339;233;267
1340;250;267
1341;248;267
1342;263;267
1343;256;267
1344;245;267
1345;240;267
1346;260;267
1347;254;267
1348;235;267
1349;238;267
1350;255;267
1351;247;267
1352;271;267
1353;233;267
1354;248;267
1355;247;267
1356;267;267
1357;259;267
1358;243;267
1359;244;267
1360;259;267
1361;250;267
1362;271;267
1363;232;267
1364;254;267
1365;241;266
1366;285;267
1367;229;266
1368;245;266
1369;242;266
1370;264;266
1371;256;266
1372;240;266
1373;235;266
1374;254;266
1375;263;266
1376;269;266
1377;231;266
1378;250;266
1379;244;266
1380;264;266
1381;231;266
1382;249;266
1383;246;266
1384;264;266
1385;226;266
1386;249;266
1387;247;266
1388;266;266
1389;260;266
1390;248;266
1391;245;266
1392;263;266
1393;260;266
1394;244;266
1395;246;266
1396;259;266
1397;259;266
1398;240;266
1399;237;266
1400;256;266
1401;258;266
1402;243;266
1403;241;266
1404;255;266
1405;252;266
1406;241;266
1407;237;266
1408;255;266
1409;249;266
1410;271;266
1411;234;266
1412;250;266
1413;248;266
1414;270;266
1415;229;266
1416;255;266
1417;247;266
1418;265;266
1419;232;266
1420;248;266
1421;1765;267
1422;279;267
1423;234;267
1424;247;267
1425;258;267
1426;265;267
1427;231;267
1428;250;267
1429;249;267
1430;266;267
1431;260;267
1432;246;267
1433;237;267
1434;264;267
1435;264;267
1436;240;267
1437;239;267
1438;259;267
1439;255;267
1440;272;267
1441;237;267
1442;249;267
1443;247;267
1444;268;267
1445;234;267
1446;249;267
1447;242;267
1448;262;267
1449;260;267
1450;243;267
1451;242;267
1452;253;267
1453;257;267
1454;241;267
1455;234;266
1456;251;266
1457;250;266
1458;262;266
1459;230;266
1460;246;266
1461;242;266
1462;264;266
1463;256;266
1464;244;266
1465;240;266
1466;258;266
1467;255;266
1468;239;266
1469;238;266
1470;257;266
1471;250;266
1472;2169;268
1473;359;268
1474;322;268
1475;315;268
1476;224;268
1477;298;268
1478;247;268
1479;266;268
1480;232;268
1481;251;268
1482;246;268
1483;266;268
1484;267;268
1485;245;268
1486;233;268
1487;356;268
1488;267;268
1489;247;268
1490;244;268
1491;260;268
1492;260;268
1493;242;268
1494;240;268
1495;257;268
1496;259;268
1497;242;268
1498;229;268
1499;287;268
1500;396;268
1501;396;268
1502;376;268
1503;487;268
1504;448;268
1505;460;268
1506;439;268
1507;424;268
1508;527;269
1509;362;269
1510;246;269
1511;263;269
1512;258;269
1513;243;269
1514;243;269
1515;261;269
1516;258;269
1517;243;269
1518;243;269
1519;263;269
1520;261;269
1521;245;268
1522;240;268
1523;741;269
1524;256;269
1525;248;269
1526;245;269
1527;260;269
1528;257;269
1529;242;269
1530;245;269
1531;261;269
1532;231;269
1533;245;269
1534;245;269
1535;265;269
1536;258;269
1537;248;269
1538;243;269
1539;263;269
1540;263;269
1541;245;269
1542;240;269
1543;263;269
1544;258;269
1545;246;269
1546;243;269
1547;259;269
1548;263;268
1549;244;268
1550;243;268
1551;261;268
1552;260;268
1553;242;268
1554;239;268
1555;263;268
1556;227;268
1557;247;268
1558;243;268
1559;262;268
1560;257;268
1561;243;268
1562;242;268
1563;261;268
1564;258;268
1565;245;268
1566;243;268
1567;261;268
1568;257;268
1569;241;268
1570;242;268
1571;260;268
1572;262;268
1573;241;268
1574;1037;269
1575;709;269
1576;266;269
1577;263;269
1578;240;269
1579;263;269
1580;257;269
1581;242;269
1582;241;269
1583;259;269
1584;259;269
1585;242;269
1586;239;269
1587;256;269
1588;256;269
1589;241;269
1590;240;269
1591;260;269
1592;251;269
1593;273;269
1594;239;269
1595;255;269
1596;254;269
1597;268;269
1598;230;269
1599;250;269
1600;247;269
1601;266;269
1602;228;269
1603;247;269
1604;246;269
1605;262;269
1606;255;269
1607;246;269
1608;240;269
1609;263;269
1610;260;269
1611;237;269
1612;240;269
1613;258;269
1614;259;269
1615;243;269
1616;239;268
1617;255;268
1618;254;268
1619;270;268
1620;234;268
1621;252;268
1622;248;268
1623;265;268
1624;227;268
1625;266;268
1626;248;268
1627;272;268
1628;234;268
1629;257;268
1630;251;268
1631;271;268
1632;236;268
1633;251;268
1634;250;268
1635;267;268
1636;231;268
1637;251;268
1638;253;268
1639;268;268
1640;233;268
1641;250;268
1642;249;268
1643;269;268
1644;236;268
1645;252;268
1646;251;268
1647;268;268
1648;234;268
1649;254;268
1650;252;268
1651;264;268
1652;233;268
1653;251;268
1654;250;268
1655;266;268
1656;231;268
1657;246;268
1658;243;268
1659;266;268
1660;235;268
1661;253;268
1662;245;268
1663;263;268
1664;229;268
1665;248;268
1666;247;268
1667;261;268
1668;252;268
1669;245;268
1670;247;268
1671;261;268
1672;257;268
1673;238;268
1674;232;268
1675;268;268
1676;899;268
1677;231;268
1678;236;268
1679;254;268
1680;255;268
1681;242;268
1682;239;268
1683;257;268
1684;254;268
1685;239;268
1686;240;268
1687;258;268
1688;254;268
1689;271;268
1690;236;268
1691;258;268
1692;254;268
1693;273;268
1694;236;268
1695;252;268
1696;252;268
1697;270;268
1698;234;268
1699;248;268
1700;244;268
1701;263;268
1702;228;268
1703;247;268
1704;244;268
1705;260;268
1706;251;268
1707;230;268
1708;235;268
1709;257;268
1710;256;268
1711;269;268
1712;233;268
1713;253;268
1714;248;268
1715;266;268
1716;228;268
1717;248;268
1718;242;268
1719;262;268
1720;261;268
1721;242;268
1722;240;268
1723;258;268
1724;250;268
1725;242;268
1726;236;268
1727;257;268
1728;249;268
1729;270;268
1730;233;268
1731;255;268
1732;243;268
1733;260;268
1734;261;268
1735;242;268
1736;238;268
1737;258;268
1738;251;268
1739;269;268
1740;231;268
1741;251;267
1742;238;267
1743;259;267
1744;257;267
1745;243;267
1746;241;267
1747;259;267
1748;253;267
1749;238;267
1750;234;267
1751;250;267
1752;250;267
1753;268;267
1754;258;267
1755;245;267
1756;238;267
1757;256;267
1758;254;267
1759;237;267
1760;230;267
1761;250;267
1762;245;267
1763;269;267
1764;227;267
1765;243;267
1766;239;267
1767;258;267
1768;254;267
1769;239;267
1770;231;267
1771;248;267
1772;243;267
1773;264;267
1774;267;267
1775;245;267
1776;239;267
1777;255;267
1778;1812;268
1779;267;268
1780;244;268
1781;236;268
1782;250;268
1783;251;268
1784;269;268
1785;234;268
1786;255;268
1787;249;268
1788;267;268
1789;226;268
1790;244;268
1791;244;268
1792;259;268
1793;256;268
1794;239;268
1795;241;268
1796;255;268
1797;255;268
1798;237;268
1799;235;268
1800;256;268
1801;249;268
1802;265;268
1803;230;268
1804;247;268
1805;242;268
1806;261;268
1807;260;268
1808;240;268
1809;234;268
1810;247;268
1811;254;268
1812;274;268
1813;234;268
1814;255;268
1815;253;268
1816;268;268
1817;231;268
1818;249;268
1819;245;268
1820;264;268
1821;230;267
1822;247;267
1823;241;267
1824;258;267
1825;238;267
1826;245;267
1827;245;267
1828;259;267
1829;1019;268
1830;262;268
1831;246;268
1832;262;268
1833;263;268
1834;246;268
1835;240;268
1836;261;268
1837;261;268
1838;251;268
1839;245;268
1840;262;268
1841;258;268
1842;245;268
1843;244;268
1844;262;268
1845;257;268
1846;242;268
1847;241;268
1848;258;268
1849;259;268
1850;271;268
1851;233;268
1852;251;268
1853;251;268
1854;271;268
1855;230;268
1856;262;268
1857;244;268
1858;264;268
1859;261;268
1860;247;268
1861;243;268
1862;261;268
1863;260;268
1864;243;268
1865;244;268
1866;261;268
1867;248;268
1868;241;267
1869;237;267
1870;258;267
1871;254;267
1872;271;267
1873;230;267
1874;247;267
1875;256;267
1876;261;267
1877;260;267
1878;243;267
1879;239;267
1880;251;267
1881;252;267
1882;268;267
1883;232;267
1884;247;267
1885;246;267
1886;264;267
1887;262;267
1888;241;267
1889;240;267
1890;255;267
1891;254;267
1892;243;267
1893;234;267
1894;253;267
1895;250;267
1896;268;267
1897;232;267
1898;247;267
1899;241;267
1900;259;267
1901;256;267
1902;241;267
1903;237;267
1904;255;267
1905;249;267
1906;264;267
1907;228;267
1908;248;267
1909;244;267
1910;260;267
1911;259;267
1912;240;267
1913;240;267
1914;258;267
1915;254;267
1916;243;267
1917;239;267
1918;252;267
1919;252;267
1920;271;267
1921;232;267
1922;248;267
1923;244;267
1924;262;267
1925;269;267
1926;245;267
1927;238;267
1928;257;267
1929;252;267
1930;270;267
1931;1739;268
1932;268;268
1933;248;268
1934;267;268
1935;263;268
1936;244;268
1937;244;268
1938;258;268
1939;255;268
1940;268;268
1941;232;268
1942;250;268
1943;247;268
1944;263;268
1945;256;268
1946;238;268
1947;235;268
1948;254;268
1949;253;268
1950;268;268
1951;232;268
1952;241;268
1953;242;267
1954;261;267
1955;254;267
1956;272;267
1957;234;267
1958;253;267
1959;248;267
1960;266;267
1961;229;267
1962;243;267
1963;245;267
1964;260;267
1965;253;267
1966;241;267
1967;236;267
1968;252;267
1969;251;267
1970;265;267
1971;227;267
1972;245;267
1973;237;267
1974;255;267
1975;265;267
1976;272;267
1977;236;267
1978;255;267
1979;247;267
1980;264;267
1981;261;267
1982;1374;268
1983;251;268
1984;263;268
1985;254;268
1986;273;268
1987;237;268
1988;249;268
1989;246;268
1990;262;268
1991;262;268
1992;250;268
1993;242;268
1994;256;268
1995;259;268
1996;270;268
1997;221;268
1998;245;268
1999;241;268
2000;262;268
2001;254;268
2002;271;268
2003;233;268
2004;247;268
2005;245;268
2006;264;268
2007;256;268
2008;241;268
2009;237;268
2010;255;268
2011;248;268
2012;266;268
2013;230;268
2014;236;268
2015;246;268
2016;256;268
2017;252;268
2018;267;268
2019;233;267
2020;246;267
2021;245;267
2022;263;267
2023;253;267
2024;237;267
2025;244;267
2026;252;267
2027;248;267
2028;264;267
2029;260;267
2030;247;267
2031;243;267
2032;257;267
2033;2291;268
2034;233;268
2035;251;268
2036;245;268
2037;259;268
2038;252;268
2039;267;268
2040;228;268
2041;247;268
2042;245;268
2043;261;268
2044;256;268
2045;239;268
2046;238;268
2047;258;268
2048;254;268
2049;263;268
2050;229;268
2051;244;268
2052;240;268
2053;256;268
2054;252;268
2055;267;268
2056;231;268
2057;248;268
2058;247;268
2059;260;268
2060;254;268
2061;240;268
2062;234;268
2063;249;268
2064;246;268
2065;255;268
2066;263;268
2067;248;268
2068;244;268
2069;260;268
2070;257;268
2071;238;268
2072;239;268
2073;252;268
2074;249;268
2075;273;268
2076;230;268
2077;247;268
2078;249;268
2079;264;268
2080;231;268
2081;244;268
2082;241;268
2083;258;268
2084;1223;268
2085;252;268
2086;240;268
2087;256;268
2088;252;268
2089;270;268
2090;232;268
2091;251;268
2092;248;268
2093;266;268
2094;262;268
2095;246;268
2096;246;268
2097;258;268
2098;256;268
2099;241;268
2100;239;268
2101;255;268
2102;248;268
2103;267;268
2104;233;268
2105;249;268
2106;247;268
2107;267;268
2108;230;268
2109;243;268
2110;239;268
2111;257;268
2112;257;268
2113;241;268
2114;235;268
2115;250;268
2116;243;268
2117;268;268
2118;235;268
2119;249;268
2120;245;268
2121;260;268
