Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
913;216;249
914;203;249
915;207;249
916;224;249
917;199;249
918;210;249
919;216;249
920;215;249
921;206;249
922;222;249
923;192;249
924;214;249
925;217;249
926;197;249
927;203;249
928;224;249
929;195;249
930;217;249
931;214;249
932;201;249
933;689;249
934;220;249
935;197;249
936;215;249
937;218;249
938;198;249
939;203;249
940;227;249
941;198;249
942;692;249
943;213;249
944;205;249
945;207;249
946;219;249
947;215;249
948;217;249
949;197;249
950;210;249
951;959;250
952;212;250
953;219;250
954;222;250
955;204;249
956;210;249
957;229;249
958;199;249
959;213;249
960;217;249
961;202;249
962;205;249
963;220;249
964;189;249
965;205;249
966;214;249
967;227;249
968;221;249
969;222;249
970;196;249
971;206;249
972;225;249
973;198;249
974;218;249
975;218;249
976;195;249
977;204;249
978;232;249
979;191;249
980;212;248
981;217;248
982;193;248
983;205;248
984;226;248
985;189;248
986;204;248
987;211;248
988;233;248
989;222;248
990;219;248
991;200;248
992;209;248
993;235;248
994;205;248
995;212;248
996;219;248
997;211;248
998;225;248
999;198;248
1000;200;248
1001;224;248
1002;186;248
1003;218;248
1004;220;248
1005;202;248
1006;205;248
1007;234;247
1008;198;247
1009;213;247
1010;208;247
1011;203;247
1012;221;247
1013;197;247
1014;214;247
1015;217;247
1016;208;247
1017;209;247
1018;231;247
1019;198;247
1020;213;247
1021;217;247
1022;209;247
1023;211;247
1024;206;247
1025;199;247
1026;228;247
1027;189;247
1028;689;247
1029;2172;249
1030;1533;250
1031;471;251
1032;220;250
1033;280;251
1034;196;250
1035;261;250
1036;217;250
1037;249;250
1038;208;250
1039;269;250
1040;193;250
1041;258;250
1042;219;250
1043;250;250
1044;201;250
1045;269;250
1046;193;250
1047;264;250
1048;807;251
1049;271;251
1050;687;251
1051;274;251
1052;195;251
1053;263;251
1054;217;251
1055;203;251
1056;208;251
1057;231;251
1058;200;251
1059;216;251
1060;189;251
1061;206;251
1062;215;251
1063;194;251
1064;200;251
1065;224;251
1066;199;251
1067;212;251
1068;204;251
1069;205;251
1070;224;251
1071;192;250
1072;221;250
1073;215;250
1074;214;250
1075;212;250
1076;229;250
1077;197;250
1078;219;250
1079;188;250
1080;211;250
1081;218;250
1082;193;250
1083;201;250
1084;221;250
1085;202;250
1086;210;250
1087;217;250
1088;206;250
1089;689;250
1090;225;250
1091;196;250
1092;220;250
1093;223;250
1094;205;250
1095;207;250
1096;199;250
1097;208;250
1098;702;250
1099;193;250
1100;218;250
1101;218;250
1102;208;250
1103;229;250
1104;194;250
1105;212;250
1106;215;250
1107;207;250
1108;205;250
1109;221;250
1110;197;250
1111;218;250
1112;221;250
1113;202;250
1114;211;250
1115;199;250
1116;205;250
1117;215;250
1118;190;250
1119;213;250
1120;218;250
1121;215;249
1122;208;249
1123;225;249
1124;679;250
1125;218;250
1126;238;250
1127;203;250
1128;211;250
1129;203;250
1130;206;250
1131;221;250
1132;196;250
1133;691;250
1134;218;250
1135;204;250
1136;209;250
1137;231;250
1138;222;250
1139;190;250
1140;213;250
1141;216;250
1142;203;250
1143;202;250
1144;227;250
1145;195;250
1146;210;249
1147;539;250
1148;199;250
1149;201;250
1150;220;250
1151;195;250
1152;225;250
1153;218;250
1154;202;249
1155;207;249
1156;230;249
1157;201;249
1158;214;249
1159;206;249
1160;210;249
1161;193;249
1162;199;249
1163;222;249
1164;189;249
1165;208;249
1166;212;249
1167;225;249
1168;200;249
1169;292;249
1170;189;249
1171;204;249
1172;203;249
1173;196;249
1174;201;249
1175;213;249
1176;218;249
1177;207;249
1178;224;249
1179;197;249
1180;686;249
1181;218;249
1182;193;249
1183;206;249
1184;210;249
1185;202;249
1186;206;249
1187;216;249
1188;191;249
1189;689;249
1190;218;249
1191;193;249
1192;203;249
1193;221;249
1194;212;249
1195;216;249
1196;942;249
1197;227;249
1198;220;249
1199;195;249
1200;208;249
1201;212;249
1202;203;249
1203;203;249
1204;229;249
1205;189;249
1206;206;249
1207;213;249
1208;200;249
1209;207;249
1210;218;249
1211;187;249
1212;213;249
1213;218;249
1214;195;249
1215;225;249
1216;191;249
1217;205;249
1218;216;249
1219;200;249
1220;202;249
1221;223;249
1222;193;249
1223;210;249
1224;211;249
1225;200;248
1226;208;248
1227;221;248
1228;188;248
1229;212;248
1230;225;248
1231;197;248
1232;201;248
1233;222;248
1234;194;248
1235;208;248
1236;699;248
1237;205;248
1238;203;248
1239;217;248
1240;188;248
1241;210;248
1242;219;248
1243;195;248
1244;195;248
1245;699;249
1246;190;249
1247;218;248
1248;697;249
1249;202;249
1250;203;249
1251;217;249
1252;190;249
1253;207;249
1254;218;249
1255;195;249
1256;202;249
1257;702;249
1258;190;249
1259;202;249
1260;213;249
1261;201;249
1262;219;249
1263;190;249
1264;211;249
1265;213;249
1266;199;249
1267;220;249
1268;218;249
1269;193;249
1270;214;248
1271;218;248
1272;193;248
1273;203;248
1274;226;248
1275;200;248
1276;212;248
1277;210;248
1278;201;248
1279;205;248
1280;226;248
1281;193;248
1282;215;248
1283;697;248
1284;190;248
1285;198;248
