Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
5154;15;1016;3798;1429;253786;250415
5155;1805;1016;9;1429;248205;250415
5156;1784;1016;3790;1430;252007;250415
5157;15;1016;3781;1430;253769;250416
5158;1768;1016;9;1430;248243;250415
5159;11;1016;9;1429;250001;250415
5160;1760;1016;3751;1430;251993;250415
5161;1751;1016;9;1430;248260;250415
5162;15;1016;3727;1430;253715;250416
5163;15;1016;3719;1431;253707;250416
5164;12;1016;3718;1431;253706;250417
5165;1706;1016;9;1431;248306;250417
5166;15;1016;9;1430;249997;250416
5167;15;1015;3690;1431;253678;250417
5168;1694;1016;4240;1431;252549;250418
5169;11;1015;3669;1432;253661;250418
5170;7;1015;17;1432;250014;250418
