Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
989;15;45;14;21;250002;249979
990;15;45;9;21;249997;249979
991;16;45;9;21;249997;249979
992;11;45;9;21;250001;249979
993;7;45;9;21;250006;249979
994;15;45;22;21;250010;249979
995;11;45;9;21;250001;249979
996;20;45;14;21;249997;249979
997;15;45;9;21;249997;249979
998;15;45;18;21;250006;249979
999;11;45;18;21;250010;249979
1000;7;45;9;21;250006;249979
1001;15;45;9;21;249997;249979
1002;7;45;13;21;250010;249979
1003;15;45;9;21;249997;249979
1004;11;45;18;21;250010;249979
1005;7;45;9;21;250006;249979
1006;15;45;18;21;250006;249979
1007;11;44;14;21;250006;249979
1008;20;44;14;21;249997;249979
1009;11;44;18;21;250010;249979
1010;20;44;14;21;249997;249979
1011;15;44;9;21;249997;249979
1012;11;44;9;21;250001;249979
1013;7;44;17;21;250014;249979
1014;11;44;22;21;250014;249979
1015;11;44;18;21;250010;249979
1016;15;44;18;21;250006;249979
1017;11;44;14;21;250006;249979
1018;20;44;9;21;249992;249979
1019;20;44;9;21;249992;249979
1020;20;44;9;21;249992;249979
1021;15;44;18;21;250006;249979
1022;16;44;21;21;250009;249979
1023;20;44;9;21;249992;249979
1024;12;44;13;21;250001;249979
1025;16;44;17;21;250005;249979
1026;16;44;13;21;250001;249979
1027;11;44;18;21;250010;249979
1028;20;44;9;21;249992;249979
1029;11;44;14;21;250006;249979
1030;15;44;18;21;250006;249979
1031;15;44;18;21;250006;249980
1032;7;44;17;21;250014;249980
1033;15;44;18;21;250006;249980
1034;11;44;9;21;250001;249980
1035;15;44;18;21;250006;249980
1036;11;44;18;21;250010;249980
1037;15;44;9;21;249997;249980
1038;11;44;14;21;250006;249980
1039;11;44;9;21;250001;249980
1040;11;43;14;21;250006;249980
1041;15;43;14;21;250002;249980
1042;11;43;18;21;250010;249980
1043;11;43;14;21;250006;249980
1044;16;43;9;21;249997;249980
1045;12;43;9;21;249997;249980
1046;16;43;13;21;250001;249980
1047;15;43;174;21;250162;249980
1048;7;43;17;21;250014;249980
1049;11;43;14;21;250006;249980
1050;11;43;18;21;250010;249980
1051;65;43;14;21;249951;249980
1052;56;43;17;21;249964;249980
1053;40;43;9;21;249972;249980
1054;36;43;13;21;249980;249980
1055;28;43;14;21;249989;249980
1056;109;43;17;21;249910;249980
1057;20;43;9;21;249992;249980
1058;20;43;9;21;249992;249980
1059;15;43;9;21;249997;249980
1060;52;43;14;21;249964;249980
1061;11;43;14;21;250006;249980
1062;15;43;18;21;250006;249980
1063;11;43;18;21;250010;249980
1064;20;43;18;21;250001;249980
1065;11;43;9;21;250001;249980
1066;69;43;18;21;249951;249980
1067;7;43;13;21;250010;249980
1068;15;43;14;21;250002;249980
1069;11;43;14;21;250006;249980
1070;15;43;14;21;250002;249980
1071;15;43;18;21;250006;249980
1072;11;43;9;21;250001;249980
1073;15;43;9;21;249997;249980
1074;15;43;22;21;250010;249980
1075;15;43;18;21;250006;249980
1076;11;43;14;21;250006;249980
1077;15;43;18;21;250006;249980
1078;11;43;18;21;250010;249980
1079;15;43;9;21;249997;249980
1080;7;43;9;21;250006;249980
1081;7;43;17;21;250010;249980
1082;11;43;9;21;250001;249980
1083;7;43;13;21;250006;249980
1084;7;43;17;21;250014;249981
1085;15;43;14;21;250002;249981
1086;20;43;18;21;250001;249981
1087;15;42;18;21;250006;249981
1088;11;42;18;21;250010;249981
1089;11;42;9;21;250001;249981
